ts_ms,x,y,z,t_seconds
1757863062752,0.4633636474609375,-0.2873687744140625,-0.4630584716796875,0.0
1757863062884,0.4633636474609375,-0.169464111328125,-0.4630584716796875,0.132
1757863063753,0.4633636474609375,-0.11981201171875,-0.4630584716796875,1.001
1757863063885,0.4633636474609375,-0.11981201171875,-0.688751220703125,1.133
1757863064756,0.4633636474609375,-0.11981201171875,-0.881134033203125,2.004
1757863064887,0.45703125,-0.11981201171875,-0.881134033203125,2.135
1757863065758,0.457977294921875,-0.11981201171875,-0.881134033203125,3.006
1757863065890,0.457977294921875,0.0035400390625,-0.881134033203125,3.138
1757863066760,0.457977294921875,-0.1195220947265625,-0.881134033203125,4.008
1757863066892,0.457977294921875,-0.1195220947265625,-0.8968505859375,4.14
