ts_ms,x,y,z,t_seconds
1757863053562,0.2252044677734375,-0.5994873046875,-0.7446746826171875,0.0
1757863054563,0.228546142578125,-0.5994873046875,-0.7446746826171875,1.001
1757863055565,0.228546142578125,-0.5753021240234375,-0.7446746826171875,2.003
1757863056566,0.228546142578125,-0.5753021240234375,-0.7488861083984375,3.004
1757863057568,0.2560882568359375,-0.5753021240234375,-0.7488861083984375,4.006
1757863058569,0.2560882568359375,-0.4131927490234375,-0.7488861083984375,5.007
1757863058877,0.9863739013671875,-0.4131927490234375,-0.7488861083984375,5.315
1757863059879,0.9863739013671875,-0.2873687744140625,-0.7488861083984375,6.317
1757863060881,0.9863739013671875,-0.2873687744140625,-0.4630584716796875,7.319
1757863061882,0.6995849609375,-0.2873687744140625,-0.4630584716796875,8.32
