ts_ms,x,y,z,t_seconds
1757863038976,0.4054412841796875,-0.00469970703125,-0.99371337890625,0.0
1757863039950,0.4054412841796875,-0.1412200927734375,-0.99371337890625,0.974
1757863039978,-0.003570556640625,-0.1412200927734375,-0.99371337890625,1.002
1757863040952,-0.003570556640625,-0.1412200927734375,-0.5884857177734375,1.976
1757863040980,-0.003570556640625,-0.003509521484375,-0.5884857177734375,2.004
1757863041954,-0.7055511474609375,-0.003509521484375,-0.5884857177734375,2.978
1757863041983,-0.7055511474609375,-0.003509521484375,-0.99127197265625,3.007
1757863042956,-0.7055511474609375,0.4877471923828125,-0.99127197265625,3.98
1757863043957,-0.7055511474609375,0.4877471923828125,-0.5915679931640625,4.981
1757863044674,-0.4532470703125,0.4877471923828125,-0.5915679931640625,5.698
