ts_ms,x,y,z,t_seconds
1757863044960,0.1876220703125,0.4877471923828125,-0.5915679931640625,0.0
1757863045675,0.1876220703125,0.217315673828125,-0.5915679931640625,0.715
1757863046676,0.1876220703125,0.217315673828125,-1.0140533447265625,1.716
1757863046986,0.3577117919921875,0.217315673828125,-1.0140533447265625,2.026
1757863047551,0.1386260986328125,0.217315673828125,-1.0140533447265625,2.591
1757863047551,0.1386260986328125,-0.5517730712890625,-1.0140533447265625,2.591
1757863047551,0.1386260986328125,-0.5517730712890625,-0.7688446044921875,2.591
1757863047678,0.3561553955078125,-0.5517730712890625,-0.7688446044921875,2.718
1757863047988,0.3561553955078125,-0.638763427734375,-0.7688446044921875,3.028
1757863048552,0.2361297607421875,-0.638763427734375,-0.7688446044921875,3.592
