ts_ms,x,y,z,t_seconds
1757863048681,0.2361297607421875,-0.6416015625,-0.7688446044921875,0.0
1757863048990,0.2361297607421875,-0.6416015625,-0.6586151123046875,0.309
1757863049555,0.2361297607421875,-0.552093505859375,-0.6586151123046875,0.874
1757863049684,0.2361297607421875,-0.552093505859375,-0.635833740234375,1.003
1757863049993,-0.929779052734375,-0.552093505859375,-0.635833740234375,1.312
1757863050556,-0.929779052734375,-0.552093505859375,-0.7944793701171875,1.875
1757863050996,-0.929779052734375,0.4335174560546875,-0.7944793701171875,2.315
1757863051558,0.2252044677734375,0.4335174560546875,-0.7944793701171875,2.877
1757863051998,0.2252044677734375,0.4335174560546875,-1.050933837890625,3.317
1757863052560,0.2252044677734375,-0.5994873046875,-1.050933837890625,3.879
