timestamp_iso,gx_dps,gy_dps,gz_dps
2025-08-27T11:43:18.204090+00:00,-8.972,-218.445,280.64
2025-08-27T11:43:18.443615+00:00,61.89,-244.324,232.117
2025-08-27T11:43:18.727783+00:00,-13.0,69.58,-34.424
2025-08-27T11:43:18.968428+00:00,-117.249,260.193,-92.224
2025-08-27T11:43:19.439069+00:00,27.771,335.938,-252.38
2025-08-27T11:43:19.777015+00:00,-62.805,-110.657,104.065
2025-08-27T11:43:20.020758+00:00,-290.71,-303.223,212.402
2025-08-27T11:43:20.466999+00:00,-296.143,-82.52,160.461
2025-08-27T11:43:20.824087+00:00,-230.164,123.596,169.373
2025-08-27T11:43:21.166600+00:00,-46.021,381.348,214.355
2025-08-27T11:43:21.567651+00:00,15.991,-85.571,-164.368
2025-08-27T11:43:21.875026+00:00,113.586,-346.313,-106.079
2025-08-27T11:43:22.191954+00:00,934.143,-331.543,89.111
2025-08-27T11:43:22.601167+00:00,32.471,84.839,-76.66
2025-08-27T11:43:23.124304+00:00,223.694,653.32,-92.102
2025-08-27T11:43:23.446182+00:00,139.771,257.385,-147.888
2025-08-27T11:43:23.686914+00:00,-31.982,-299.622,-15.869
2025-08-27T11:43:24.089168+00:00,-170.837,-461.975,42.236
2025-08-27T11:43:24.331584+00:00,136.23,-611.633,3.845
2025-08-27T11:43:24.618017+00:00,433.044,-23.621,554.626
2025-08-27T11:43:24.858228+00:00,-218.323,253.906,217.102
2025-08-27T11:43:25.160621+00:00,62.927,156.555,-349.854
2025-08-27T11:43:25.687488+00:00,100.525,123.169,-258.179
2025-08-27T11:43:26.068590+00:00,-53.589,367.859,-313.843
2025-08-27T11:43:26.303512+00:00,-180.237,764.099,-263.794
2025-08-27T11:43:26.593851+00:00,-175.049,728.882,45.715
2025-08-27T11:43:26.836028+00:00,-46.509,351.257,-174.377
2025-08-27T11:43:27.118749+00:00,-71.594,125.244,-331.665
2025-08-27T11:43:27.415724+00:00,-161.072,-104.431,-196.777
2025-08-27T11:43:27.761111+00:00,-6.592,-448.853,-8.057
2025-08-27T11:43:27.999462+00:00,133.728,-828.308,291.199
2025-08-27T11:43:28.294034+00:00,-67.749,-723.083,261.902
2025-08-27T11:43:28.537269+00:00,-199.463,-375.122,-91.98
2025-08-27T11:43:28.949941+00:00,-176.697,-272.339,-288.391
2025-08-27T11:43:29.359648+00:00,107.971,-421.021,-241.76
2025-08-27T11:43:29.737199+00:00,26.672,-421.082,49.011
2025-08-27T11:43:29.977218+00:00,-31.311,-261.597,11.597
2025-08-27T11:43:30.391278+00:00,183.655,208.801,-454.712
2025-08-27T11:43:30.787238+00:00,-80.078,467.529,-400.818
2025-08-27T11:43:31.016382+00:00,-329.834,903.625,-222.9
2025-08-27T11:43:31.310870+00:00,-544.983,869.507,88.989
2025-08-27T11:43:31.608605+00:00,-59.753,562.927,133.484
2025-08-27T11:43:31.955266+00:00,20.447,301.88,-81.848
2025-08-27T11:43:32.184285+00:00,-18.982,3.052,-141.602
2025-08-27T11:43:32.479754+00:00,-86.365,-331.726,-120.483
2025-08-27T11:43:32.709602+00:00,-151.672,-554.871,-262.878
2025-08-27T11:43:33.007090+00:00,61.157,-968.201,-176.819
2025-08-27T11:43:33.455998+00:00,21.362,-1160.828,-49.744
2025-08-27T11:43:33.762888+00:00,171.997,-1057.129,109.985
2025-08-27T11:43:34.069867+00:00,-202.637,-370.483,-25.818
2025-08-27T11:43:34.456384+00:00,-359.375,263.733,-256.348
